S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
29.0,10.0,0.0,25.0,6.0,12.0,6.0,90.0,3.0,41.666666666666664,30.666666666666668,6.333333333333333,41.0,39.0,9.0,15.0,0.0,3.0,23.244444444444444,906.5481481481482,28.666666666666668,24.476190476190474,12.5,6.75
28.9,11.0,0.6,27.3,5.7,12.6,7.8,90.1,5.633333333333333,43.0,28.200000000000003,6.0,41.0,37.5,8.4,14.7,0.3,3.7,23.58222222222222,943.7185185185185,28.66,24.876190476190473,13.95,6.775
28.8,12.0,1.2,29.6,5.4,13.2,9.6,90.2,8.266666666666666,44.33333333333333,25.733333333333334,5.666666666666666,41.0,36.0,7.8,14.4,0.6,4.4,23.919999999999998,980.8888888888889,28.653333333333336,25.276190476190475,15.4,6.8
28.7,13.0,1.7999999999999998,31.9,5.1,13.8,11.4,90.3,10.9,45.666666666666664,23.266666666666666,5.333333333333333,41.0,34.5,7.2,14.1,0.8999999999999999,5.1,24.25777777777778,1018.0592592592593,28.64666666666667,25.676190476190474,16.85,6.825
28.6,14.0,2.4,34.2,4.8,14.4,13.2,90.4,13.533333333333333,47.0,20.8,5.0,41.0,33.0,6.6,13.8,1.2,5.8,24.595555555555556,1055.2296296296295,28.64,26.076190476190476,18.3,6.85
28.5,15.0,3.0,36.5,4.5,15.0,15.0,90.5,16.166666666666664,48.33333333333333,18.333333333333336,4.666666666666666,41.0,31.5,6.0,13.5,1.5,6.5,24.933333333333334,1092.3999999999999,28.633333333333333,26.476190476190474,19.75,6.875
28.4,16.0,3.5999999999999996,38.8,4.2,15.6,16.8,90.6,18.8,49.666666666666664,15.866666666666667,4.333333333333333,41.0,30.0,5.4,13.2,1.7999999999999998,7.199999999999999,25.27111111111111,1129.5703703703703,28.62666666666667,26.876190476190473,21.2,6.9
28.3,17.0,4.2,41.099999999999994,3.9,16.2,18.6,90.7,21.433333333333334,51.0,13.400000000000002,4.0,41.0,28.5,4.8,12.9,2.1,7.8999999999999995,25.608888888888888,1166.7407407407406,28.62,27.276190476190475,22.65,6.925
28.2,18.0,4.8,43.4,3.6,16.8,20.4,90.8,24.066666666666666,52.33333333333333,10.933333333333334,3.6666666666666665,41.0,27.0,4.2,12.6,2.4,8.6,25.94666666666667,1203.911111111111,28.613333333333333,27.676190476190474,24.1,6.95
28.1,19.0,5.3999999999999995,45.7,3.3000000000000003,17.4,22.2,90.9,26.7,53.666666666666664,8.466666666666665,3.333333333333333,41.0,25.5,3.6000000000000005,12.3,2.6999999999999997,9.3,26.284444444444446,1241.0814814814812,28.60666666666667,28.076190476190476,25.549999999999997,6.975
28.0,20.0,6.0,48.0,3.0,18.0,24.0,91.0,29.333333333333332,55.0,6.0,3.0,41.0,24.0,3.0,12.0,3.0,10.0,26.622222222222224,1278.2518518518516,28.6,28.476190476190474,27.0,7.0
26.1,22.9,6.0,43.9,3.6,19.1,24.0,96.6,26.7,50.9,6.3,4.433333333333334,40.266666666666666,25.1,3.8,12.0,2.7,10.0,26.64666666666667,1343.1481481481478,29.96666666666667,28.023809523809522,24.95,7.125
24.2,25.8,6.0,39.8,4.2,20.2,24.0,102.2,24.066666666666666,46.8,6.6,5.866666666666666,39.53333333333333,26.2,4.6,12.0,2.4,10.0,26.671111111111113,1408.0444444444443,31.333333333333336,27.57142857142857,22.9,7.25
22.3,28.7,6.0,35.7,4.8,21.3,24.0,107.8,21.43333333333333,42.7,6.9,7.299999999999999,38.8,27.3,5.4,12.0,2.1,10.0,26.695555555555554,1472.9407407407405,32.7,27.119047619047617,20.85,7.375
20.4,31.6,6.0,31.6,5.4,22.4,24.0,113.4,18.799999999999997,38.6,7.2,8.733333333333333,38.06666666666666,28.4,6.2,12.0,1.8,10.0,26.72,1537.8370370370367,34.06666666666667,26.666666666666664,18.8,7.5
18.5,34.5,6.0,27.5,6.0,23.5,24.0,119.0,16.166666666666664,34.5,7.5,10.166666666666666,37.33333333333333,29.5,7.0,12.0,1.5,10.0,26.744444444444444,1602.7333333333331,35.43333333333334,26.214285714285715,16.75,7.625
16.6,37.4,6.0,23.400000000000002,6.6,24.6,24.0,124.6,13.533333333333331,30.400000000000002,7.8,11.599999999999998,36.599999999999994,30.6,7.800000000000001,12.0,1.2000000000000002,10.0,26.76888888888889,1667.6296296296293,36.8,25.76190476190476,14.700000000000001,7.75
14.700000000000001,40.3,6.0,19.300000000000004,7.2,25.700000000000003,24.0,130.2,10.899999999999999,26.300000000000004,8.1,13.033333333333331,35.86666666666667,31.700000000000003,8.600000000000001,12.0,0.8999999999999999,10.0,26.793333333333333,1732.5259259259255,38.166666666666664,25.30952380952381,12.650000000000002,7.875
12.8,43.2,6.0,15.200000000000003,7.8,26.8,24.0,135.8,8.266666666666666,22.200000000000003,8.4,14.466666666666665,35.13333333333333,32.8,9.4,12.0,0.6000000000000001,10.0,26.817777777777774,1797.422222222222,39.53333333333333,24.857142857142858,10.600000000000001,8.0
10.900000000000002,46.099999999999994,6.0,11.100000000000001,8.399999999999999,27.9,24.0,141.4,5.633333333333333,18.1,8.7,15.899999999999999,34.4,33.9,10.2,12.0,0.30000000000000027,10.0,26.84222222222222,1862.3185185185182,40.9,24.404761904761905,8.55,8.125
