S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
120,351,132,30,54,117,165,36,45,219,153,120,114,39,99,135,363,27,128.83333333333334,9173.472222222223,75.0,163.5,110.0,249.0,27.0
108,27,63,36,81,141,165,18,72,190,153,114,36,105,69,129,156,36,94.38888888888889,2684.7932098765427,72.0,78.0,102.44444444444444,142.5,36.0
108,39,36,39,36,105,156,18,72,183,105,82,72,123,57,126,174,18,86.05555555555556,2563.496913580246,73.5,54.0,96.44444444444444,150.0,18.0
108,27,84,54,54,99,81,49,93,30,0,51,72,57,72,93,132,30,65.88888888888889,1035.5432098765432,81.0,66.0,56.111111111111114,112.5,30.0
78,18,93,96,75,150,36,90,81,30,9,60,58,63,132,63,51,30,67.38888888888889,1301.1265432098764,87.0,84.0,62.111111111111114,57.0,30.0
63,78,36,27,159,0,0,9,81,51,9,69,27,27,141,54,18,30,48.833333333333336,1888.8055555555559,45.0,68.25,46.0,36.0,30.0
9,99,48,36,120,27,18,30,66,51,33,52,18,18,48,45,18,90,45.888888888888886,893.4320987654321,22.5,73.5,37.111111111111114,31.5,90.0
93,54,36,39,204,105,18,60,60,57,33,36,27,9,63,45,27,78,58.0,1847.0,66.0,99.75,40.333333333333336,36.0,78.0
111,138,45,39,204,87,40,60,60,39,25,34,81,111,63,72,261,9,82.16666666666667,3939.4722222222213,75.0,118.5,57.0,166.5,9.0
81,84,45,36,36,9,18,97,34,30,18,33,81,111,60,75,162,72,60.111111111111114,1445.0987654320986,58.5,43.5,53.55555555555556,118.5,72.0
93,48,0,102,27,0,36,39,9,21,27,25,49,96,93,36,99,72,48.44444444444444,1171.2469135802467,97.5,18.75,43.888888888888886,67.5,72.0
30,18,0,72,90,39,54,30,9,258,9,18,36,60,69,36,57,0,49.166666666666664,3199.1388888888882,51.0,36.75,60.333333333333336,46.5,0.0
69,9,36,9,27,60,18,9,9,258,30,9,159,93,27,63,0,9,49.666666666666664,4049.2222222222235,39.0,33.0,68.0,31.5,9.0
69,33,45,21,54,75,18,18,9,133,30,0,72,102,36,45,0,9,42.72222222222222,1239.5339506172834,45.0,51.75,46.44444444444444,22.5,9.0
30,126,27,21,18,63,9,18,9,9,93,4,9,36,27,0,9,9,28.72222222222222,1049.4228395061732,25.5,58.5,23.77777777777778,4.5,9.0
39,93,99,45,18,9,18,13,19,0,30,9,9,144,30,0,9,18,33.44444444444444,1456.9135802469139,42.0,54.75,30.22222222222222,4.5,18.0
30,66,60,54,27,57,18,9,9,9,9,4,27,147,111,18,0,39,38.55555555555556,1453.3580246913582,42.0,52.5,38.111111111111114,9.0,39.0
39,87,30,9,9,90,36,18,9,18,18,0,27,87,51,39,30,30,34.833333333333336,721.138888888889,24.0,54.0,29.333333333333332,34.5,30.0
69,0,18,0,27,0,27,27,9,18,36,10,0,63,33,39,51,9,24.22222222222222,431.8395061728394,34.5,11.25,24.77777777777778,45.0,9.0
18,0,9,9,18,0,27,9,9,18,36,21,0,18,0,39,84,18,18.5,379.25,13.5,6.75,15.333333333333334,61.5,18.0
18,18,0,9,0,0,21,9,9,39,43,15,0,9,0,48,75,9,17.88888888888889,403.2098765432099,13.5,4.5,16.11111111111111,61.5,9.0
39,144,0,0,0,9,15,9,4,21,21,9,0,9,9,48,9,9,19.72222222222222,1069.4228395061732,19.5,38.25,10.777777777777779,28.5,9.0
39,144,0,0,9,42,27,9,0,0,21,4,4,0,9,27,30,84,24.944444444444443,1275.0524691358025,19.5,48.75,8.222222222222221,28.5,84.0
18,27,9,21,36,42,0,0,0,0,9,0,0,30,18,0,21,84,17.5,440.25,19.5,28.5,6.333333333333333,10.5,84.0
0,9,9,30,27,9,0,0,4,0,30,21,0,84,30,30,0,18,16.72222222222222,409.75617283950606,15.0,13.5,18.77777777777778,15.0,18.0
