S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
51,18,18,0,18,0,0,55,19,9,0,0,45,27,9,0,0,9,15.444444444444445,314.5802469135802,23.333333333333336,0.0,16.0,31.5
39,87,0,0,18,9,27,30,0,9,9,0,22,18,0,0,0,0,14.88888888888889,450.20987654321016,22.0952380952381,0.0,17.0,50.0
18,96,51,21,18,39,27,69,0,9,18,0,0,0,0,0,0,0,20.333333333333332,715.555555555556,21.285714285714285,44.0,33.0,37.5
0,96,165,0,18,30,9,69,9,9,18,0,9,30,0,0,0,0,25.666666666666668,1784.222222222222,22.5,37.0,16.0,41.5
18,78,9,0,27,90,9,39,18,48,18,0,36,21,0,0,0,0,22.833333333333332,679.138888888889,20.11904761904762,13.0,36.0,12.5
39,138,45,0,30,90,9,39,18,69,9,0,54,0,0,0,0,9,30.5,1367.25,21.88095238095238,9.0,36.0,14.0
9,0,54,33,2856,0,0,64,13,9,9,0,54,42,0,0,0,9,175.11111111111111,423225.5432098766,107.80952380952378,13355.0,13.0,744.5
72,57,27,0,16644,0,9,51,9,9,9,0,31,33,0,0,0,0,941.7222222222222,14504096.645061731,81.83333333333334,5760.666666666667,7.0,2797.5
174,189,9,29433,741,0,27,9,9,9,9,0,18,0,0,0,0,9,1702.0,45265313.0,97.52380952380952,45254.666666666664,0.0,242.0
3057,207,18,50280,801,9,0,18,9,9,9,0,0,21,0,0,0,0,3024.3333333333335,131859491.88888891,196.78571428571428,40432.666666666664,16.0,1820.5
2148,177,69,56499,294,9,0,39,36,4,9,0,0,42,0,0,0,0,3295.8888888888887,166741460.3209876,114.2142857142857,37046.666666666664,4085.0,1669.5
1083,159,150,26373,177,129,160,39,36,21,9,0,0,39,0,0,0,9,1576.888888888889,36226438.65432099,230.90476190476193,48054.0,1561.0,3932.0
993,18,156,6423,798,14166,489,61,37,9,0,0,0,9,0,0,0,9,1287.111111111111,11889036.765432093,166.33333333333331,29903.0,17774.0,2011.5
879,18,318,7350,9441,33042,366,42,174,198,33,0,43,18,0,9,0,0,2885.0555555555557,60343753.16358025,175.04761904761907,12100.0,21302.0,3013.5
102,9,528,819,14712,17850,225,30,174,918,96,0,78,18,9,0,0,0,1976.0,25926852.0,187.16666666666666,9268.0,12654.0,3612.5
315,0,951,807,4836,20742,180,9,345,918,111,0,27,9,78,0,0,0,1629.3333333333333,22694482.888888888,209.0952380952381,6189.0,11846.0,1946.0
