S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
30,30,0,66,0,9,0,66,0,80,88,0,87,33,0,9,0,9,28.166666666666668,1070.9166666666663,48.0,9.75,39.333333333333336,4.5,9.0
57,18,18,42,0,18,0,48,69,111,0,0,87,9,0,9,0,0,27.0,1110.0,49.5,13.5,36.0,4.5,0.0
18,18,18,21,9,57,0,48,9,0,9,0,52,9,0,0,0,0,14.88888888888889,333.54320987654324,19.5,25.5,14.11111111111111,0.0,0.0
9,9,9,0,9,9,9,111,9,9,0,0,27,9,0,9,0,0,12.666666666666666,609.5555555555559,4.5,9.0,19.333333333333332,4.5,0.0
9,9,18,0,0,30,9,51,9,33,9,0,18,0,0,9,0,0,11.333333333333334,189.55555555555551,4.5,14.25,14.333333333333334,4.5,0.0
9,9,9,0,27,30,9,9,0,33,9,0,18,0,0,0,0,0,9.0,115.0,4.5,18.75,8.666666666666666,0.0,0.0
30,21,27,21,45,0,4,9,0,33,4,0,0,9,0,0,0,0,11.277777777777779,196.0895061728394,25.5,23.25,6.555555555555555,0.0,0.0
2319,30,102,10278,18,9,0,42,0,0,57,0,0,63,0,0,0,0,717.6666666666666,5653606.555555559,6298.5,39.75,18.0,0.0,0.0
6495,9,9,31734,2892,42,27,48,0,0,57,16,9,42,0,0,0,0,2298.8888888888887,53470985.09876544,19114.5,738.0,22.11111111111111,0.0,0.0
3642,18,9,2400,6483,33,63,69,0,21,0,33,9,9,0,0,0,30,712.1666666666666,2885389.138888889,3021.0,1635.75,22.666666666666668,0.0,30.0
420,18,114,1017,4110,2256,18,177,0,0,9,112,18,45,0,39,0,39,466.22222222222223,1074598.728395062,718.5,1624.5,42.111111111111114,19.5,39.0
1341,153,132,957,1875,738,18,186,72,43,9,192,48,45,0,9,0,9,323.72222222222223,278460.64506172825,1149.0,724.5,68.11111111111111,4.5,9.0
690,153,174,465,16242,6702,94,186,72,86,166,255,48,0,0,0,0,0,1407.388888888889,15220160.682098761,577.5,5817.75,100.77777777777777,0.0,0.0
333,0,222,441,7425,3186,384,132,160,117,456,318,48,18,0,0,0,0,735.5555555555555,3134054.24691358,387.0,2708.25,181.44444444444446,0.0,0.0
1665,0,360,240,1257,16350,309,57,177,159,441,205,81,84,0,0,0,0,1188.0555555555557,13714492.719135802,952.5,4491.75,168.11111111111111,0.0,0.0
975,0,609,84,1236,3618,477,351,177,216,258,93,135,96,0,0,0,54,465.5,698891.25,529.5,1365.75,200.33333333333334,0.0,54.0
579,123,693,54,702,1854,408,1101,220,366,216,219,345,216,0,0,0,63,397.72222222222223,207869.42283950627,316.5,843.0,343.44444444444446,0.0,63.0
876,111,705,321,534,3378,408,480,360,366,216,345,399,297,0,0,0,9,489.1666666666667,546793.4722222224,598.5,1182.0,319.0,0.0,9.0
615,117,705,504,354,2742,555,480,360,484,295,289,552,534,0,0,9,0,477.5,352527.25,559.5,979.5,394.3333333333333,4.5,0.0
711,324,618,387,246,1554,492,480,328,480,351,234,552,498,0,39,9,0,405.72222222222223,122074.8672839506,549.0,685.5,379.44444444444446,24.0,0.0
906,315,627,255,300,930,621,615,378,402,237,180,412,339,0,0,0,0,362.05555555555554,78621.49691358025,580.5,543.0,353.77777777777777,0.0,0.0
657,216,618,249,369,546,522,486,378,435,426,126,408,450,0,0,0,0,327.0,46605.0,453.0,437.25,359.0,0.0,0.0
474,465,513,240,339,582,414,360,426,249,426,157,360,426,0,0,0,0,301.72222222222223,35463.08950617284,357.0,474.75,313.1111111111111,0.0,0.0
465,606,384,252,339,489,414,372,402,218,426,189,273,459,0,0,0,0,293.77777777777777,34237.839506172844,358.5,454.5,305.8888888888889,0.0,0.0
258,642,195,279,225,300,306,372,402,187,442,175,285,399,0,0,0,0,248.16666666666666,28981.47222222222,268.5,340.5,285.3333333333333,0.0,0.0
249,609,285,228,420,219,216,406,298,282,243,162,285,351,0,0,0,0,236.27777777777777,25283.42283950617,238.5,383.25,249.22222222222223,0.0,0.0
258,657,339,93,369,225,162,348,195,183,108,280,259,399,0,0,0,0,215.27777777777777,28309.7561728395,175.5,397.5,214.88888888888889,0.0,0.0
366,402,183,117,264,321,210,399,195,180,237,399,174,435,0,30,0,0,217.33333333333334,20820.22222222222,241.5,292.5,247.66666666666666,15.0,0.0
