S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4,Zone 5
72,87,39,0,78,39,18,9,0,21,0,0,18,66,0,9,0,30,27.0,848.0,36.0,60.75,14.666666666666666,4.5,30.0
72,36,48,0,180,9,18,0,0,180,0,0,36,0,9,9,0,30,34.833333333333336,3028.1388888888882,36.0,68.25,27.0,4.5,30.0
51,36,9,93,102,27,0,9,0,180,0,0,27,66,9,0,0,0,33.833333333333336,2266.8055555555557,72.0,43.5,32.333333333333336,0.0,0.0
0,249,0,93,9,18,0,0,0,90,0,21,9,78,0,9,0,0,32.0,3745.0,46.5,69.0,22.0,4.5,0.0
9,78,0,0,0,9,13,0,0,21,0,42,9,21,0,18,0,0,12.222222222222221,376.5061728395062,4.5,21.75,11.777777777777779,9.0,0.0
18,54,0,9,9,9,54,0,15,21,33,25,9,21,0,9,0,0,15.88888888888889,268.7654320987655,13.5,18.0,19.77777777777778,4.5,0.0
3396,0,0,1218,18,9,63,69,63,9,0,9,4,0,9,0,0,21,271.55555555555554,650154.469135802,2307.0,6.75,25.11111111111111,0.0,21.0
1455,9,0,16980,18,0,54,69,63,18,0,108,48,0,9,27,0,21,1048.8333333333333,15036894.138888884,9217.5,6.75,41.0,13.5,21.0
2373,18,18,56804,384,0,27,0,31,18,0,207,84,0,0,27,0,0,3332.8333333333335,168477016.2499999,29588.5,105.0,40.77777777777778,13.5,0.0
1878,9,5286,19550,135,9,27,9,0,9,0,153,45,0,0,0,0,0,1506.111111111111,20715845.543209884,10714.0,1359.75,27.0,0.0,0.0
591,9,9384,28826,186,9,45,9,0,0,4,99,27,0,0,30,0,0,2178.8333333333335,46330203.249999985,14708.5,2397.0,20.444444444444443,15.0,0.0
1116,18,21516,57246,75,204,282,9,13,9,51,453,27,30,0,30,0,0,4504.388888888889,187578591.1265432,29181.0,5453.25,97.11111111111111,15.0,0.0
345,27,6873,28398,18,1014,237,18,75,60,69,807,18,57,0,0,0,0,2112.0,43070462.0,14371.5,1983.0,149.0,0.0,0.0
1017,9,5547,12855,39,1566,189,27,75,276,231,862,9,18,0,0,0,9,1262.7222222222222,9540178.311728392,6936.0,1790.25,187.44444444444446,0.0,9.0
687,21,3051,15000,327,6858,90,39,229,276,477,918,18,0,0,0,0,9,1555.5555555555557,13309635.80246914,7843.5,2564.25,227.44444444444446,0.0,9.0
807,42,2070,14109,903,5874,90,165,582,438,477,673,45,0,9,0,0,0,1460.2222222222222,11232725.283950618,7458.0,2222.25,275.44444444444446,0.0,0.0
996,42,924,3375,663,4518,432,165,582,723,628,429,75,0,9,18,0,0,754.3888888888889,1416999.1265432097,2185.5,1536.75,338.1111111111111,9.0,0.0
987,267,975,1845,1047,3078,552,309,670,1128,642,409,75,33,9,54,0,0,671.1111111111111,587444.6543209878,1416.0,1341.75,425.22222222222223,27.0,0.0
1410,45,1356,1737,981,2418,477,504,1104,1272,480,390,93,96,30,18,0,0,689.5,489870.25,1573.5,1200.0,494.0,9.0,0.0
1392,243,1410,1065,819,1206,618,399,1104,1512,693,312,210,141,135,78,0,30,631.5,265491.25,1228.5,919.5,569.3333333333334,39.0,30.0
