S-01,S-02,S-03,S-04,S-05,S-06,S-07,S-08,S-09,S-10,S-11,S-12,S-13,S-15,S-16,S-17,S-18,S-19,Average,Variance,Zone 1,Zone 2,Zone 3,Zone 4
99,234,111,144,84,66,108,312,18,159,178,34,186,150,0,48,0,9,107.77777777777777,7048.395061728395,83.05128205128206,68.0,89.66666666666667,103.0
162,249,48,30,87,246,90,310,37,93,90,51,186,159,0,39,0,9,104.77777777777777,8240.061728395061,79.53846153846153,19.0,100.33333333333333,186.0
165,27,48,51,126,198,54,288,138,66,48,39,135,126,0,0,0,0,83.83333333333333,6034.472222222224,60.333333333333336,55.0,87.0,164.0
138,132,27,39,54,57,81,156,138,36,18,27,249,93,0,0,0,0,69.16666666666667,4539.4722222222235,56.820512820512825,31.0,55.0,69.0
117,132,57,18,72,9,54,204,93,54,27,33,219,177,0,0,0,0,70.33333333333333,4895.2222222222235,53.871794871794876,59.0,76.0,48.0
72,192,195,39,54,30,54,180,27,64,27,39,72,141,0,9,0,0,66.38888888888889,4089.570987654322,50.641025641025635,46.0,77.33333333333333,86.0
111,249,117,39,9,237,45,180,27,74,22,24,45,60,0,9,0,0,69.33333333333333,5924.999999999999,46.589743589743584,22.0,104.66666666666667,106.0
93,126,105,21,0,285,54,120,58,75,18,9,45,108,0,0,0,0,62.05555555555556,4905.496913580246,45.666666666666664,32.0,60.0,125.0
102,186,144,21,9,108,18,81,66,39,27,42,49,144,0,18,0,0,58.55555555555556,3051.1358024691363,53.1025641025641,35.0,63.333333333333336,72.0
90,165,135,9,36,63,27,42,66,27,165,75,183,75,0,18,0,0,65.33333333333333,3440.555555555556,64.6923076923077,22.0,51.0,38.0
18,51,69,18,45,102,81,30,33,84,255,42,18,72,0,0,0,0,51.0,3418.0,51.12820512820513,28.0,46.0,47.0
27,87,60,42,141,129,81,48,9,66,255,9,9,51,0,0,0,0,56.333333333333336,4119.555555555556,42.69230769230769,29.0,60.666666666666664,59.0
60,33,36,72,141,87,91,48,9,48,136,15,9,39,0,0,0,0,45.77777777777778,1899.506172839506,34.717948717948715,27.0,57.666666666666664,49.0
72,9,54,30,27,9,93,75,18,0,0,21,9,18,0,0,0,0,24.166666666666668,823.472222222222,29.58974358974359,10.0,53.333333333333336,30.0
18,18,27,9,0,42,0,90,18,9,9,31,51,30,0,0,9,0,20.055555555555557,506.1635802469135,28.512820512820515,3.0,30.666666666666668,33.0
0,18,9,228,0,63,9,66,18,18,9,42,102,33,0,9,0,0,34.666666666666664,2957.222222222225,31.94871794871795,87.0,35.0,60.0
51,39,126,165,0,18,45,57,13,0,0,40,18,9,0,9,9,0,33.27777777777778,1956.867283950617,31.717948717948723,72.0,51.666666666666664,42.0
66,39,156,51,18,9,45,36,42,7,0,39,0,18,33,9,9,0,32.05555555555556,1275.1635802469139,29.410256410256412,20.0,46.333333333333336,19.0
48,18,87,27,0,99,22,36,42,14,4,28,27,9,33,0,9,0,27.944444444444443,732.8302469135799,22.564102564102562,15.0,25.333333333333332,56.0
18,9,147,9,9,111,9,18,49,30,9,18,27,9,0,0,9,0,26.72222222222222,1480.3117283950617,23.74358974358974,21.0,27.0,47.0
27,9,27,9,18,78,27,0,9,9,30,9,61,9,0,0,21,0,19.055555555555557,422.6080246913578,20.743589743589745,25.0,25.0,35.0
69,0,18,0,0,57,63,0,9,42,21,0,0,9,0,39,21,0,19.333333333333332,550.2222222222221,22.384615384615383,14.0,26.333333333333332,31.0
123,42,27,0,9,0,18,0,9,9,21,0,0,0,0,39,0,9,17.0,835.0,19.46153846153846,13.0,39.0,22.0
81,60,66,0,27,0,18,30,0,9,21,0,9,0,0,0,0,9,18.333333333333332,616.8888888888891,15.076923076923077,3.0,38.666666666666664,3.0
9,48,105,0,18,0,55,30,0,9,21,4,18,0,0,0,0,0,17.61111111111111,718.7932098765435,14.179487179487179,0.0,24.0,13.0
9,42,18,0,18,9,93,49,10,9,45,9,18,30,0,0,0,0,19.944444444444443,554.1635802469137,18.435897435897438,0.0,21.0,16.0
